Risk Description,Author,Category,Date Registered,ID,Impact,Mitigation,Probability,Response
"Incorrectly formatted code, unable to run program on different devices",Caelan,Code Base,26/02/2026,5,Extreme,"Ensure correct formatting before submission, test the upload on multiple devices",Normal,Roll back release and distribute working version ASAP
Too high or low confidence levels: false positives or negatives,Caelan,Code Base,26/02/2026,6,Elevated,Complete batch testing by using a diverse range of footage and monitoring confidence levels and detection.,Normal,"Ensure user training is in place, making sure they are aware that false positives and negatives can occur and that manual verification of output is always required"
Being unable to meet stakeholder requirements and meet client satisfaction,Caelan,Project Delivery,26/02/2026,7,Extreme,"Planning regular stakeholder meetings, presenting completed work and clarifying expectations",Normal,Ensure we take all provided feedback onboard and implement swiftly and transparently
Lack of documentation limiting process evidence both for the grading and stakeholder,Caelan,Documentation,26/02/2026,8,Elevated,Ensure consistent documentation is developed following the provided task criteria,Evelated,"In the event we are made aware of a gap in documentaiton, appropriate changes or additions to the documentation will be made"
Not backing up documentation resulting in loss of work,Caelan,Documentation,26/02/2026,9,Extreme,Frequently back up documentation or use cloud services to ensure a separate digital copy is created and can be accessed across devices,Evelated,Utilise most recent backup and documentation and recreate the changes that were lost
Merging faulty code that replaces working program,Caelan,Code Base,26/02/2026,10,Elevated,"Ensure each member tests the code before merging, communicating with the group if unsure",Evelated,Revert faulty merge
Multiple people working on the same branch resulting in overlaps and errors,Caelan,Code Base,26/02/2026,11,Elevated,"Assign sections to each group member and ensure they focus on one branch at a time, communicating current task",Evelated,Revert code that has caused issues and work with conflicting code developers to make their branches merge neatly
Having an incomplete artefact by the due date (inefficient sprint planning),Caelan,Project Delivery,26/02/2026,12,Extreme,Ensure an efficient sprint planning structure and complete,Normal,Be transparent and honest with stakeholders about why the artefacts are incomplete
Preparing a final presentation that does not adequately present final work,Caelan,Project Delivery,26/02/2026,13,Elevated,"Allowing adequate time to complete the expected work, following the provided criteria and practicing before presentation day",Normal,Be transparent and honest about the reasons why the presentation was not adequate
Having an incomplete team where more workload falls on some individuals,Caelan,Team Management,26/02/2026,14,Elevated,"Ensure each members progress is being tracked with completed tasks and using communication strategies to ensure equal contributions. ",Normal,Escalate to teaching team if unable to communicate.
Having group conflict that negatively impacts the group dynamic and productivity,Caelan,Team Management,26/02/2026,15,Normal,"Ensure professionalism is maintained throughout, expectations are met to avoid frustration and any inappropriate behaviour is reported.",Low,Liaise with Tutor to find an appropriate resolution
Front and back end code does not align resulting in unused code or missing components,Caelan,Code Base,26/02/2026,16,Elevated,Front end and back end team should work collaboratively to ensure cohesion and final code should be tested,Normal,Bring front end and back end teams together for a meeting to discuss how they will work collaboratively moving forward and how the misalignment will be corrected
Lack of team meeting minutes resulting in forgotten decisions and unclear expectations,Caelan,Documentation,26/02/2026,17,Normal,Ensure meeting minutes are conducted each meeting and covers necessary points,Normal,Acknowledge the shortfall and ensure that future meetings have adequate minutes recorded
Having a project that is not automated or an improvement from the previous group,Caelan,Project Delivery,26/02/2026,18,Extreme,Follow an efficient sprint plan to ensure progressive productivity and take on board  stakeholder feedback,Normal,"Be transparent and acknowledge the shortfalls of the project, as well as what the plan is to improve in the future"
Being unable to communicate with group members resulting in a loss of progress,Caelan,Team Management,26/02/2026,19,Elevated,"Follow the communication plan steps, try to contact the members through numerous methods, otherwise escalate",Evelated,Liaise with Tutor for assistance in finding a resolution
Not organising frequent team meetings to document work and follow sprint structure,Caelan,Team Management,26/02/2026,20,Normal,Ensure at least one group meeting is organised every fortnight and the sprint structure is followed,Normal,Acknowledge the shortfall in meetings and ensure that going forward there is at least one meeting per fortnight
Impacting stakeholder relationship by not maintaining professionalism.,Caelan,Team Management,26/02/2026,21,Extreme,Maintain professionalism with stakeholder both in person and over emails and communicate with group members who are not following this,Very Low,Acknowledge the unprofessionalism and ensure that processes are in place that it cannot happen in the future
"Privacy risk, provided stakeholder information could be distributed to the wrong party",Caelan,Project Delivery,26/02/2026,23,Extreme,Ensure provided data is only added to a secure database or platform and do not share with unauthorised third parties,Low,"Ensure that the stakeholder is made aware of the breach, as well as what has been done to clean up as best as possible"
Developed software could be contaminated with malicious malware,Caelan,Project Delivery,26/02/2026,24,Extreme,Only use reputable and secure software and do not link GitHub or code to any third party untrusted sources.,Very Low,"Once infection is identified, ensure the compromised version is scrubbed from all repositories and anyone who may have a copy is notified"
Being unable to communicate with stakeholder resulting in unclear expectations,Caelan,Team Management,26/02/2026,25,Elevated,"Ensure regular stakeholder meetings are conducted, work is efficiently communicated and feedback is received and applied",Low,Communicate with Tutor to find a resolution
Technical issues resulting in an incomplete final artefact,Caelan,Project Delivery,26/02/2026,26,Elevated,Ensure there are back up plans and other devices that can be accessed in case of failure,Very Low,"Identify the newest version that is considered most feature complete without the technical issues, and explain why the issues occurred"
Breach of any of the terms and conditions within the stakeholder contract,Caelan,Project Delivery,26/02/2026,27,Extreme,Ensure the contract was read and followed.,Low,"Acknowledge the breach, rectify, and communicate what was done as part of the rectification"
Lack of video clips for model training,Harrison,Project Delivery,10/03/2026,35,Elevated,Using existing provided small amount clips to train model,Evelated,Contact teaching team regarding having a major block